selling_price,km_driven,fuel,seller_type,transmission,owner,Age,price_age,price_km
320000,40000,Petrol,Individual,Manual,First Owner,4,643706.7143,495938.855
400000,100000,Diesel,Individual,Manual,Third Owner,5,507648.5144,367524.4406
175000,80000,Petrol,Individual,Manual,Third Owner,8,383616.7757,354072.418
120000,90000,Petrol,Individual,Manual,Second Owner,9,298903.3151,316149.6369
320000,90000,Diesel,Individual,Manual,Second Owner,7,441215.578,316149.6369
70000,110000,Petrol,Individual,Manual,Third Owner,14,153494.2184,350386.099
810000,15000,Petrol,Individual,Manual,First Owner,1,870222.1961,643275.8276
95000,100000,Petrol,Individual,Manual,Second Owner,13,165466.0097,367524.4406
282000,40000,CNG,Individual,Manual,First Owner,0,779843.75,495938.855
80000,60000,Petrol,Individual,Manual,Second Owner,16,125530.303,376801.0833
72000,25000,Petrol,Individual,Manual,First Owner,7,441215.578,546884.9375
600000,25000,Petrol,Individual,Manual,First Owner,4,643706.7143,546884.9375
640000,23000,Petrol,Individual,Manual,First Owner,5,507648.5144,512333.3333
380000,22155,Petrol,Individual,Manual,First Owner,2,823822.0285,380000
650000,70000,Petrol,Individual,Manual,First Owner,2,823822.0285,362279.1472
150000,60000,Petrol,Individual,Manual,Second Owner,11,242653.8077,376801.0833
280000,110000,Petrol,Individual,Manual,Second Owner,11,242653.8077,350386.099
430000,30000,Petrol,Individual,Manual,First Owner,2,823822.0285,616484.1474
800000,15000,Diesel,Individual,Manual,First Owner,1,870222.1961,643275.8276
75000,100000,Diesel,Individual,Manual,Second Owner,17,78315.78947,367524.4406
650000,70000,Diesel,Individual,Automatic,First Owner,4,643706.7143,362279.1472
390000,24000,Petrol,Individual,Manual,First Owner,3,736892.2615,812142.7857
100000,120000,Petrol,Individual,Manual,Second Owner,15,114381.1897,290779.5484
1500000,35000,Diesel,Individual,Automatic,First Owner,7,441215.578,618923.9873
175000,78380,Petrol,Individual,Manual,First Owner,13,165466.0097,175000
434999,110000,Diesel,Individual,Manual,Second Owner,8,383616.7757,350386.099
170000,90000,Diesel,Individual,Manual,Third Owner,10,278209.7113,316149.6369
190000,90000,Diesel,Individual,Manual,Third Owner,9,298903.3151,316149.6369
250000,150000,Diesel,Individual,Manual,Third Owner,11,242653.8077,286500
229999,230000,Diesel,Individual,Manual,Third Owner,11,242653.8077,391249.75
140000,70000,Petrol,Individual,Manual,Third Owner,14,153494.2184,362279.1472
600000,80362,Diesel,Individual,Manual,First Owner,3,736892.2615,600000
280000,110000,Petrol,Individual,Manual,Third Owner,8,383616.7757,350386.099
150000,60000,Diesel,Individual,Manual,First Owner,8,383616.7757,376801.0833
650000,50000,Diesel,Individual,Automatic,First Owner,5,507648.5144,420457.8193
210000,40000,Petrol,Individual,Manual,Second Owner,6,518887.0548,495938.855
2900000,40000,Diesel,Individual,Automatic,First Owner,3,736892.2615,495938.855
425000,20000,Diesel,Dealer,Manual,First Owner,7,441215.578,660733.2933
265000,55000,Petrol,Dealer,Manual,First Owner,6,518887.0548,482454.5455
890000,1136,Petrol,Dealer,Manual,First Owner,2,823822.0285,890000
365000,55000,Petrol,Dealer,Manual,First Owner,7,441215.578,482454.5455
350000,43000,Petrol,Dealer,Manual,First Owner,6,518887.0548,597142.7143
685000,60000,Diesel,Individual,Manual,First Owner,4,643706.7143,376801.0833
940000,2650,Diesel,Dealer,Manual,First Owner,2,823822.0285,940000
1000000,40000,Diesel,Individual,Manual,First Owner,3,736892.2615,495938.855
1150000,15000,Petrol,Dealer,Manual,First Owner,1,870222.1961,643275.8276
450000,115962,Diesel,Individual,Manual,Second Owner,4,643706.7143,450000
590000,65000,Diesel,Dealer,Manual,First Owner,5,507648.5144,448999.875
800000,40000,Diesel,Individual,Manual,First Owner,3,736892.2615,495938.855
385000,58000,Diesel,Dealer,Manual,First Owner,8,383616.7757,510444.3889
2000000,15000,Diesel,Individual,Automatic,First Owner,7,441215.578,643275.8276
235000,54000,Petrol,Dealer,Manual,First Owner,8,383616.7757,301083.3333
640000,56000,Diesel,Dealer,Manual,First Owner,3,736892.2615,631777.6667
52000,120000,Petrol,Individual,Manual,Third Owner,14,153494.2184,290779.5484
140000,70000,Petrol,Individual,Manual,Second Owner,8,383616.7757,362279.1472
120000,90000,Petrol,Individual,Manual,Second Owner,12,179747.4918,316149.6369
89999,213000,Diesel,Individual,Manual,First Owner,12,179747.4918,89999
180000,120000,Diesel,Individual,Manual,First Owner,8,383616.7757,290779.5484
1500000,20000,Diesel,Individual,Manual,First Owner,3,736892.2615,660733.2933
700000,10000,Petrol,Individual,Manual,First Owner,3,736892.2615,782431.3529
285000,80000,Diesel,Individual,Manual,Second Owner,8,383616.7757,354072.418
390000,90000,Petrol,Individual,Manual,First Owner,5,507648.5144,316149.6369
125000,80000,Petrol,Individual,Manual,First Owner,12,179747.4918,354072.418
225000,60000,Petrol,Individual,Manual,Second Owner,12,179747.4918,376801.0833
175000,139000,Petrol,Individual,Manual,Second Owner,9,298903.3151,175000
1075000,160000,Diesel,Individual,Manual,Second Owner,9,298903.3151,446249.9167
300000,150000,Diesel,Individual,Manual,First Owner,6,518887.0548,286500
90000,120000,Diesel,Dealer,Manual,First Owner,11,242653.8077,290779.5484
120000,120000,Diesel,Individual,Manual,Second Owner,9,298903.3151,290779.5484
220000,100000,Diesel,Individual,Manual,Second Owner,8,383616.7757,367524.4406
300000,140000,Diesel,Dealer,Manual,First Owner,5,507648.5144,338269
180000,87000,Diesel,Dealer,Manual,Second Owner,10,278209.7113,402142.8571
170000,70000,Petrol,Individual,Manual,First Owner,7,441215.578,362279.1472
300000,50000,Petrol,Individual,Manual,Second Owner,5,507648.5144,420457.8193
1050000,70000,Diesel,Individual,Manual,First Owner,6,518887.0548,362279.1472
465000,25000,Diesel,Individual,Manual,First Owner,2,823822.0285,546884.9375
130000,80000,Diesel,Individual,Manual,Second Owner,9,298903.3151,354072.418
434999,10000,Petrol,Individual,Manual,First Owner,2,823822.0285,782431.3529
500000,32000,Petrol,Individual,Manual,First Owner,2,823822.0285,497000
200000,10000,Petrol,Individual,Manual,First Owner,2,823822.0285,782431.3529
625000,52000,Petrol,Dealer,Manual,First Owner,3,736892.2615,397812.5
110000,120000,Diesel,Individual,Manual,Third Owner,14,153494.2184,290779.5484
800000,11240,Petrol,Individual,Manual,First Owner,1,870222.1961,800000
490000,66000,Diesel,Dealer,Manual,First Owner,3,736892.2615,354444.4444
880000,64000,Diesel,Dealer,Manual,First Owner,3,736892.2615,670750
290000,49000,Petrol,Individual,Manual,First Owner,7,441215.578,739600
115999,100000,Diesel,Individual,Manual,Second Owner,14,153494.2184,367524.4406
360000,26500,Petrol,Individual,Manual,First Owner,2,823822.0285,448666.6667
65000,100000,Petrol,Individual,Manual,Second Owner,18,88571.42857,367524.4406
685000,72000,Diesel,Dealer,Manual,First Owner,3,736892.2615,425000
300000,50000,Petrol,Individual,Manual,First Owner,11,242653.8077,420457.8193
680000,44000,Diesel,Dealer,Manual,First Owner,3,736892.2615,523571.2857
1000000,60000,Diesel,Individual,Manual,Second Owner,3,736892.2615,376801.0833
100000,120000,Diesel,Individual,Manual,First Owner,18,88571.42857,290779.5484
160000,130000,Diesel,Individual,Manual,First Owner,10,278209.7113,456000
450000,70000,Diesel,Individual,Manual,First Owner,3,736892.2615,362279.1472
600000,20000,Petrol,Individual,Manual,First Owner,6,518887.0548,660733.2933
180000,60000,Diesel,Individual,Manual,Second Owner,11,242653.8077,376801.0833
100000,195000,Petrol,Individual,Manual,First Owner,13,165466.0097,178333.3333
120000,90000,Petrol,Individual,Manual,Second Owner,10,278209.7113,316149.6369
130000,80000,Petrol,Individual,Manual,Third Owner,14,153494.2184,354072.418
160000,155000,Petrol,Individual,Manual,First Owner,9,298903.3151,285000
860000,35000,Diesel,Individual,Manual,First Owner,1,870222.1961,618923.9873
650000,20000,Petrol,Individual,Manual,Second Owner,2,823822.0285,660733.2933
100000,80000,Petrol,Individual,Manual,Second Owner,10,278209.7113,354072.418
282000,20000,Petrol,Individual,Manual,First Owner,3,736892.2615,660733.2933
270000,110000,Petrol,Individual,Manual,Second Owner,10,278209.7113,350386.099
550000,29000,Diesel,Individual,Manual,First Owner,7,441215.578,621249.75
450000,120000,Diesel,Individual,Manual,First Owner,7,441215.578,290779.5484
430000,70000,Diesel,Individual,Manual,Second Owner,9,298903.3151,362279.1472
350000,40000,Petrol,Individual,Manual,First Owner,7,441215.578,495938.855
350000,20000,Petrol,Individual,Manual,First Owner,3,736892.2615,660733.2933
229999,50000,Petrol,Individual,Manual,Second Owner,7,441215.578,420457.8193
110000,50000,Petrol,Individual,Manual,First Owner,7,441215.578,420457.8193
395000,49000,Petrol,Individual,Manual,Second Owner,8,383616.7757,739600
650000,70000,Diesel,Individual,Automatic,Second Owner,9,298903.3151,362279.1472
350000,90000,Diesel,Individual,Manual,Second Owner,9,298903.3151,316149.6369
1400000,25000,Diesel,Dealer,Manual,First Owner,0,779843.75,546884.9375
360000,4000,Petrol,Individual,Manual,First Owner,2,823822.0285,644000
1300000,10000,Diesel,Individual,Manual,First Owner,2,823822.0285,782431.3529
800000,15000,Diesel,Individual,Manual,First Owner,5,507648.5144,643275.8276
229999,30000,Petrol,Individual,Manual,First Owner,2,823822.0285,616484.1474
315000,41000,Petrol,Dealer,Manual,First Owner,6,518887.0548,824142.7143
125000,28000,Petrol,Individual,Manual,First Owner,8,383616.7757,565833
700000,16000,Petrol,Individual,Manual,First Owner,1,870222.1961,491000
160000,70000,Petrol,Individual,Manual,First Owner,5,507648.5144,362279.1472
530000,10832,Petrol,Dealer,Manual,First Owner,3,736892.2615,530000
624000,14681,Diesel,Dealer,Manual,First Owner,2,823822.0285,624000
250000,50000,Petrol,Individual,Manual,First Owner,11,242653.8077,420457.8193
585000,51000,Diesel,Dealer,Manual,First Owner,4,643706.7143,474200
500000,25000,Petrol,Individual,Manual,First Owner,5,507648.5144,546884.9375
350000,30000,Petrol,Individual,Manual,First Owner,6,518887.0548,616484.1474
495000,80000,Diesel,Dealer,Manual,First Owner,6,518887.0548,354072.418
500000,50000,Petrol,Individual,Manual,First Owner,3,736892.2615,420457.8193
430000,200000,Diesel,Individual,Manual,First Owner,5,507648.5144,392857.0714
345000,44000,Petrol,Dealer,Manual,First Owner,7,441215.578,523571.2857
500000,10000,Petrol,Individual,Manual,First Owner,5,507648.5144,782431.3529
425000,19600,Petrol,Individual,Manual,First Owner,1,870222.1961,425000
80000,40000,Petrol,Individual,Manual,Second Owner,15,114381.1897,495938.855
106000,50000,Diesel,Individual,Manual,First Owner,9,298903.3151,420457.8193
180000,46730,Petrol,Individual,Manual,First Owner,11,242653.8077,180000
250000,40000,Petrol,Individual,Manual,Second Owner,5,507648.5144,495938.855
350000,80000,Diesel,Individual,Manual,First Owner,9,298903.3151,354072.418
60000,80000,Petrol,Individual,Manual,Second Owner,18,88571.42857,354072.418
900000,24000,Diesel,Individual,Manual,First Owner,2,823822.0285,812142.7857
700000,21170,Diesel,Dealer,Manual,First Owner,3,736892.2615,700000
2000000,167223,Diesel,Dealer,Automatic,First Owner,7,441215.578,2000000
1375000,60000,Diesel,Individual,Automatic,First Owner,9,298903.3151,376801.0833
1800000,141440,Diesel,Dealer,Manual,First Owner,4,643706.7143,1800000
160000,120000,Diesel,Individual,Manual,Third Owner,13,165466.0097,290779.5484
525000,140000,Petrol,Individual,Automatic,First Owner,8,383616.7757,338269
850000,212814,Diesel,Dealer,Manual,First Owner,8,383616.7757,850000
800000,30000,Diesel,Individual,Manual,First Owner,1,870222.1961,616484.1474
700000,88635,Diesel,Dealer,Manual,First Owner,3,736892.2615,700000
800000,25000,Diesel,Individual,Manual,First Owner,2,823822.0285,546884.9375
575000,20000,Petrol,Individual,Manual,Second Owner,3,736892.2615,660733.2933
350000,110000,Diesel,Individual,Manual,Second Owner,8,383616.7757,350386.099
250000,120000,Diesel,Individual,Manual,Third Owner,12,179747.4918,290779.5484
600000,149674,Diesel,Dealer,Manual,Second Owner,9,298903.3151,600000
370000,100000,Diesel,Individual,Manual,Third Owner,13,165466.0097,367524.4406
80000,120000,Petrol,Individual,Manual,Third Owner,14,153494.2184,290779.5484
50000,120000,Diesel,Individual,Manual,Second Owner,17,78315.78947,290779.5484
900000,25000,Diesel,Individual,Manual,First Owner,2,823822.0285,546884.9375
300000,35000,Petrol,Individual,Manual,Second Owner,6,518887.0548,618923.9873
125000,40000,Petrol,Individual,Manual,First Owner,18,88571.42857,495938.855
490000,60000,Diesel,Individual,Manual,Second Owner,5,507648.5144,376801.0833
300000,50000,Diesel,Individual,Manual,Second Owner,8,383616.7757,420457.8193
350000,25000,Petrol,Individual,Manual,First Owner,4,643706.7143,546884.9375
755000,8000,Diesel,Individual,Manual,First Owner,1,870222.1961,625250
720000,60000,Diesel,Individual,Manual,First Owner,3,736892.2615,376801.0833
229999,200000,Diesel,Individual,Manual,Third Owner,14,153494.2184,392857.0714
1100000,20000,Diesel,Individual,Manual,First Owner,2,823822.0285,660733.2933
400000,100000,Petrol,Individual,Manual,First Owner,7,441215.578,367524.4406
350000,70000,Diesel,Individual,Manual,Second Owner,5,507648.5144,362279.1472
159000,68000,Diesel,Dealer,Manual,First Owner,8,383616.7757,1246750
550000,38000,Petrol,Dealer,Manual,First Owner,3,736892.2615,415066.6
335000,80000,Diesel,Dealer,Manual,First Owner,7,441215.578,354072.418
185000,72000,CNG,Dealer,Manual,First Owner,6,518887.0548,425000
229999,75000,CNG,Dealer,Manual,First Owner,8,383616.7757,558399.88
225000,43000,Petrol,Dealer,Manual,First Owner,6,518887.0548,597142.7143
250000,120000,Petrol,Individual,Manual,Second Owner,13,165466.0097,290779.5484
400000,100000,Diesel,Individual,Manual,First Owner,5,507648.5144,367524.4406
470000,163000,Diesel,Individual,Manual,First Owner,6,518887.0548,470000
300000,25000,Petrol,Individual,Automatic,First Owner,2,823822.0285,546884.9375
145000,25000,Petrol,Individual,Manual,First Owner,9,298903.3151,546884.9375
100000,90000,Petrol,Individual,Manual,Second Owner,13,165466.0097,316149.6369
500000,70000,Diesel,Individual,Manual,Second Owner,6,518887.0548,362279.1472
130000,98000,CNG,Individual,Manual,Second Owner,10,278209.7113,455000
240000,81925,Diesel,Individual,Manual,First Owner,10,278209.7113,240000
150000,80000,Diesel,Individual,Manual,Second Owner,7,441215.578,354072.418
270000,40000,Petrol,Individual,Manual,First Owner,3,736892.2615,495938.855
400000,90000,Diesel,Individual,Manual,First Owner,6,518887.0548,316149.6369
200000,46000,Petrol,Individual,Manual,First Owner,8,383616.7757,536785.7143
550000,80000,Diesel,Individual,Manual,First Owner,8,383616.7757,354072.418
325000,35000,Petrol,Individual,Manual,First Owner,2,823822.0285,618923.9873
860000,82080,Diesel,Individual,Automatic,First Owner,3,736892.2615,860000
600000,200000,Diesel,Individual,Manual,First Owner,8,383616.7757,392857.0714
125000,70000,Petrol,Individual,Manual,First Owner,11,242653.8077,362279.1472
60000,40000,Petrol,Individual,Manual,Third Owner,20,76300,495938.855
300000,120000,Diesel,Individual,Manual,Third Owner,10,278209.7113,290779.5484
190000,60000,Petrol,Individual,Manual,Third Owner,13,165466.0097,376801.0833
400000,110000,Diesel,Individual,Manual,First Owner,7,441215.578,350386.099
260000,97000,Diesel,Individual,Manual,Second Owner,9,298903.3151,441999.9
400000,30000,Petrol,Individual,Manual,First Owner,3,736892.2615,616484.1474
250000,40000,Petrol,Individual,Manual,First Owner,10,278209.7113,495938.855
600000,10000,Petrol,Individual,Manual,First Owner,1,870222.1961,782431.3529
175000,52047,Petrol,Individual,Manual,First Owner,10,278209.7113,175000
450000,200000,Diesel,Individual,Manual,Third Owner,9,298903.3151,392857.0714
350000,15000,Petrol,Individual,Automatic,Second Owner,1,870222.1961,643275.8276
800000,50000,Diesel,Individual,Manual,First Owner,2,823822.0285,420457.8193
250000,70000,Petrol,Individual,Manual,Second Owner,9,298903.3151,362279.1472
600000,90000,Diesel,Individual,Manual,First Owner,3,736892.2615,316149.6369
130000,40000,Petrol,Individual,Manual,First Owner,4,643706.7143,495938.855
90000,62009,Petrol,Individual,Manual,Second Owner,14,153494.2184,90000
595000,33100,Petrol,Individual,Manual,Second Owner,3,736892.2615,595000
190000,40000,Petrol,Individual,Manual,Second Owner,6,518887.0548,495938.855
50000,120000,Petrol,Individual,Manual,Second Owner,21,76428.57143,290779.5484
95000,80000,Petrol,Individual,Manual,First Owner,13,165466.0097,354072.418
1000000,70000,Diesel,Individual,Manual,First Owner,4,643706.7143,362279.1472
220000,220000,Petrol,Individual,Manual,Second Owner,14,153494.2184,400000
